characteristic,value
Specification Details Microcontroller,ESP32-WROOM-32U-N16 (dual-core)
Flash Memory,16 MB SPI flash
SRAM,536 KB SRAM
Power Input,24 V DC nominal (V+ / 0V) OR 85–265 V AC (L / N)
Digital Inputs,"4 × isolated, 24 V DC compatible"
Relay Outputs,6 × SPDT — 3 A MAX continuous per output (board/system limit). Relay component contacts rated up to 16 A @ 250 V AC (resistive).
Analog Inputs,"4 × 0–10 V, 16-bit (ADS1115)"
Analog Output,"1 × 0–10 V, 12-bit (MCP4725)"
Temperature Inputs,"2 × RTD (PT100/PT1000 via MAX31865), 2 × 1-Wire (DS18B20 compatible)"
Display,128 × 64 OLED (SH1106)
User Interface,"4 buttons, 3 user LEDs, 1 status LED, onboard buzzer (GPIO2, PWM)"
Wi-Fi,Wi-Fi (ESP32)
Wi-Fi standard,IEEE 802.11 b/g/n (2.4 GHz)
Ethernet,Optional Ethernet (LAN8720 PHY)
RS-485,"RS-485 Modbus RTU (MAX485, half-duplex), non-isolated; TVS surge protection, PTC fuses, common-mode choke, fail-safe biasing"
Storage,"MicroSD card (SPI interface, power-switched 3.3 V rail)"
USB,"USB-C (ESD protected, CC detection, data to ESP32)"
RTC,PCF8563 with battery backup
Category Specification Details Terminal Specifications,"Terminal type Pluggable screw terminal blocks, 5.08 mm pitch"
Environmental Ratings,Operating temperature 0 °C to +40 °C
Mechanical &amp; Packaging,Product dimensions 158 × 90.6 × 67.3 mm (L × W × H)
File Description Link Schematic (MCU Board),Main controller board schematic MCU_Board.pdf
